  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5056   0.01906   0.01420  -0.1235   0.9551   0.0161
  -9.750  -0.4859   0.01812   0.01317  -0.1226   0.9488   0.0159
  -9.500  -0.4629   0.01786   0.01280  -0.1222   0.9421   0.0168
  -9.250  -0.4426   0.01682   0.01170  -0.1213   0.9348   0.0167
  -9.000  -0.4195   0.01625   0.01104  -0.1208   0.9263   0.0169
  -8.750  -0.3960   0.01565   0.01040  -0.1204   0.9166   0.0169
  -8.500  -0.3740   0.01463   0.00936  -0.1200   0.9051   0.0175
  -8.250  -0.3488   0.01414   0.00883  -0.1200   0.8928   0.0180
  -8.000  -0.3240   0.01362   0.00822  -0.1198   0.8806   0.0182
  -7.750  -0.2990   0.01320   0.00772  -0.1197   0.8690   0.0185
  -7.500  -0.2746   0.01274   0.00718  -0.1194   0.8582   0.0190
  -7.250  -0.2489   0.01244   0.00682  -0.1193   0.8485   0.0192
  -7.000  -0.2224   0.01217   0.00647  -0.1193   0.8398   0.0196
  -6.750  -0.1987   0.01152   0.00577  -0.1191   0.8319   0.0201
  -6.500  -0.1726   0.01118   0.00540  -0.1192   0.8244   0.0208
  -6.250  -0.1455   0.01089   0.00507  -0.1193   0.8178   0.0214
  -6.000  -0.1185   0.01063   0.00476  -0.1194   0.8115   0.0218
  -5.750  -0.0911   0.01036   0.00445  -0.1195   0.8058   0.0226
  -5.500  -0.0639   0.01005   0.00410  -0.1197   0.8002   0.0231
  -5.250  -0.0363   0.00979   0.00383  -0.1199   0.7951   0.0244
  -5.000  -0.0082   0.00958   0.00358  -0.1201   0.7897   0.0252
  -4.750   0.0199   0.00938   0.00334  -0.1203   0.7850   0.0266
  -4.500   0.0480   0.00918   0.00313  -0.1205   0.7792   0.0284
